Date,close,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,rsi,macd,macd_signal,macd_hist,bb_sma,bb_upper,bb_lower,daily_return,cumulative_return,volatility_10,volatility_20,momentum_3,momentum_7,momentum_14,lag_1,lag_2,lag_3,lag_4,lag_5,daily_return_scaled,rsi_scaled,macd_hist_scaled,volatility_20_scaled,momentum_3_scaled,momentum_7_scaled,momentum_14_scaled,is_anomaly_iso,zscore_return,is_anomaly_return,is_anomaly_rsi,is_anomaly_volatility,is_anomaly,is_anomaly_combined
2020-01-02,68.1083755493164,,68.1083755493164,,68.1083755493164,,68.1083755493164,,68.1083755493164,,68.1083755493164,,0.0,0.0,0.0,,,,,,,,,,,,,,,,-0.04993323327602819,-3.2314670228235265,-0.023924026330948058,-2.041618753295213,-0.08984667413212681,-0.14140190637946967,-0.19763126972567038,False,-0.04993323327602819,False,False,False,False,False
2020-01-03,67.7520751953125,,68.04359366677024,,68.07444218226841,,68.0944029864143,,68.10132009676187,,68.10483027216215,,-0.0284228202624206,-0.005684564052484121,-0.02273825620993648,,,,-0.0052313735444462495,0.9947686264555538,,,,,,68.1083755493164,,,,,-0.3056697867720887,-3.2314670228235265,-0.0563885963688469,-2.041618753295213,-0.08984667413212681,-0.14140190637946967,-0.19763126972567038,False,-0.3056697867720887,False,False,False,False,False
2020-01-06,69.55794525146484,,68.31893031853289,,68.21572818885855,,68.15179680073001,,68.13016415923123,,68.1192891276776,,0.09369050532490064,0.014190449822992833,0.07950005550190781,,,,0.026654092158010956,1.021283281100998,,,,,,67.7520751953125,68.1083755493164,,,,1.253056432276067,-3.2314670228235265,0.08958226439026729,-2.041618753295213,-0.08984667413212681,-0.14140190637946967,-0.19763126972567038,False,1.253056432276067,False,False,False,False,False
2020-01-07,69.42359161376953,,68.51977782675773,,68.33076280075484,,68.20167110712372,,68.15577658407356,,68.13226726186758,,0.17757797159198674,0.04686795417679161,0.1307100174151951,,,,-0.0019315354588120837,1.0193106362300595,,,0.019310636230059464,,,69.55794525146484,67.7520751953125,68.1083755493164,,,-0.1443566608893055,-3.2314670228235265,0.16269734321700427,-2.041618753295213,0.48655058085968683,-0.14140190637946967,-0.19763126972567038,False,-0.1443566608893055,False,False,False,False,False
2020-01-08,69.91773223876953,,68.77395135621443,,68.48190274723243,,68.26896762209022,,68.19066679505764,,68.15003308253327,,0.2806967147175641,0.0936337062849461,0.18706300843261797,,,,0.007117762327093269,1.0265658470762233,,,0.031964438538804485,,,69.42359161376953,69.55794525146484,67.7520751953125,68.1083755493164,,0.298019745166388,-3.2314670228235265,0.24315538744164178,-2.041618753295213,0.864250042911396,-0.14140190637946967,-0.19763126972567038,False,0.298019745166388,False,False,False,False,False
2020-01-09,70.65171813964844,,69.11536349865698,,68.68855183222442,,68.3624088188572,,68.23940048504953,,68.17492547116129,,0.41684051165566416,0.15827506735908972,0.25856544429657446,,,,0.010497850507684259,1.0373425818751238,,,0.015724629073348817,,,69.91773223876953,69.42359161376953,69.55794525146484,67.7520751953125,68.1083755493164,0.4632559100995517,-3.2314670228235265,0.345243068025142,-2.041618753295213,0.3795129536741298,-0.14140190637946967,-0.19763126972567038,False,0.4632559100995517,False,False,False,False,False
2020-01-10,71.10803985595703,,69.47766829089335,,68.9189792630561,,68.47008062423367,,68.2962052250675,,68.20411068892045,,0.5551572927610664,0.23765151243948507,0.31750578032158133,,,,0.00645874903433552,1.0440425172740848,,,0.024263340501867736,,,70.65171813964844,69.91773223876953,69.42359161376953,69.55794525146484,67.7520751953125,0.2658037722930923,-3.2314670228235265,0.42939519689881306,-2.041618753295213,0.6343823308365609,-0.14140190637946967,-0.19763126972567038,False,0.2658037722930923,False,False,False,False,False
2020-01-13,71.6589126586914,,69.87425817594753,,69.17992530073566,,68.59513286087908,,68.36279349107986,,68.23848682792315,,0.7011428315345825,0.33034977625850453,0.3707930552760779,,,,0.007746983376988981,1.0521306973002769,,,0.024903273664193426,0.052130697300277085,,71.10803985595703,70.65171813964844,69.91773223876953,69.42359161376953,69.55794525146484,0.3287793193624102,-3.2314670228235265,0.5054761616797908,-2.041618753295213,0.6534834994230515,0.9306419134656608,-0.19763126972567038,False,0.3287793193624102,False,False,False,False,False
2020-01-14,71.18915557861328,,70.11333043097767,,69.37128056529544,,68.69685924196669,,68.41876105716963,,68.26784671598972,,0.7700552349374163,0.41829086799428694,0.3517643669431294,,,,-0.006555459225505711,1.0452334974142221,,,0.00760685589984611,0.05073025989820268,,71.6589126586914,71.10803985595703,70.65171813964844,69.91773223876953,69.42359161376953,-0.3703979323978422,-3.2314670228235265,0.47830793121344584,-2.041618753295213,0.13720803331269768,0.9018425622249503,-0.19763126972567038,False,-0.3703979323978422,False,False,False,False,False
2020-01-15,71.61759948730469,70.09851455688477,70.3868338957644,,69.58521570072489,,68.8113980751172,,68.48210439241983,,68.30117758933613,,0.8494487376137272,0.504522441918175,0.3449262956955522,,,,0.006018387283977189,1.0515241174038468,1.3945920940988397,,0.007165991811613148,0.0296106250464101,,71.18915557861328,71.6589126586914,71.10803985595703,70.65171813964844,69.91773223876953,0.24427661592176256,-3.2314670228235265,0.4685448675514179,-2.041618753295213,0.12404881643063614,0.46752698248437924,-0.19763126972567038,False,0.24427661592176256,False,False,False,False,False
2020-01-16,72.16300201416016,70.50397720336915,70.70977355365453,,69.83071915914729,,68.94283352370712,,68.55499345423647,,68.33960370301598,,0.9454791907119784,0.5927137916769357,0.35276539903504267,,,,0.007615481819551295,1.0595319802027554,1.3400431002673874,,0.007034566068141457,0.03945935865189787,,71.61759948730469,71.18915557861328,71.6589126586914,71.10803985595703,70.65171813964844,0.3223508441650732,-3.2314670228235265,0.4797371558715751,-2.041618753295213,0.12012592974426062,0.6700616605503121,-0.19763126972567038,False,0.3223508441650732,False,False,False,False,False
